GUID1;GUID2;PROFILE1;PROFILE2;MATERIAL1;MATERIAL2;CLASS1;CLASS2;ANGLE;PLANE1_X_OVERLAP;PLANE2_X_OVERLAP;PART1_WDITH;PART2_WDITH;PLANE1_Y_OVERLAP;PLANE2_Y_OVERLAP;PLANE1_Z_OVERLAP;PLANE2_Z_OVERLAP;PART1_HEIGHT;PART2_HEIGHT;PART1_LENGTH;PART2_LENGTH;PART1_POINTS;PART2_POINTS;CONNECTION_FIRST_POINT;CONNECTION_SECOND_POINT;PART1_COG;PART2_COG
184364ea-54b7-4c59-8efd-d3caa23f21b0;5afb14ab-9015-4335-ac75-b5c2dfc342a9;9110*250;UPB380(380X1200);C50/60;C45/55;1;80;0;1879.99;1880;250.04;1200;-39.96;-40.01;380;380;9110;380;1879.99;14215.84;{61719.984375, 47425.058618, -480.000427}|{59839.990475, 47425.078029, -480.000427};{52239.950657, 46535.031328, 8630.000379}|{66471.000657, 46535.031328, 8630.000379};{61719.981587, 47155.036782, 8440.000177};{59839.987686, 47155.056193, 8440.000177};{60779.986134, 47300.069312, 4074.999573};{59362.879085, 46535.031328, 8440.000379}
184364ea-54b7-4c59-8efd-d3caa23f21b0;a7f23418-5573-484c-bd5e-a1405743d94e;9110*250;3580*200;C50/60;C50/60;1;1;0;1879.99;1880;250.04;200.02;200.05;200.02;-20;-20;9110;3580;1879.99;4830.2;{61719.984375, 47425.058618, -480.000427}|{59839.990475, 47425.078029, -480.000427};{62082.213867, 47399.997671, 8649.999811}|{57248.0094, 47400.018361, 8649.999811};{61719.984293, 47300.010444, 8639.999692};{59839.987973, 47300.018491, 8639.999692};{60779.986134, 47300.069312, 4074.999573};{59665.111206, 47300.019239, 10439.999811}
184364ea-54b7-4c59-8efd-d3caa23f21b0;8f6f71e3-7248-4150-9c7e-417742a15a6c;9110*250;9110*250;C50/60;C50/60;1;1;0;-20;-20;250.04;250.02;250.02;250.02;9110;9110;9110;9110;1879.99;1879.99;{61719.984375, 47425.058618, -480.000427}|{59839.990475, 47425.078029, -480.000427};{63619.978272, 47425.039, -480.000427}|{61739.984375, 47425.058411, -480.000427};{61729.983084, 47300.049807, -480.000427};{61729.983084, 47300.049807, 8629.999573};{60779.986134, 47300.069312, 4074.999573};{62679.980032, 47300.040055, 4074.999573}
184364ea-54b7-4c59-8efd-d3caa23f21b0;e6caaeee-e468-4ac0-87be-3b4559442428;9110*250;9110*250;C50/60;C50/60;1;1;0;-20;-20;250.04;250;250;250;9110;9110;9110;9110;1879.99;1880;{61719.984375, 47425.058618, -480.000427}|{59839.990475, 47425.078029, -480.000427};{59819.990475, 47425.078236, -480.000427}|{57939.987427, 47425.097648, -480.000427};{59829.989184, 47300.078168, -480.000427};{59829.989184, 47300.078168, 8629.999573};{60779.986134, 47300.069312, 4074.999573};{58879.98766, 47300.087977, 4074.999573}
07e7e588-731c-4c17-a2ca-99f45a5bf5ac;184364ea-54b7-4c59-8efd-d3caa23f21b0;UPB265(265X1200);9110*250;C45/55;C50/60;12;1;90;-39.99;9.23;1200;250.04;414.33;-40.02;265;343.87;265;9110;4030.04;1879.99;{62309.435271, 47135.053128, 2549.558602}|{62309.390446, 43139.293128, 2549.580099};{61719.984375, 47425.058618, -480.000427}|{59839.990475, 47425.078029, -480.000427};{61736.327195, 47155.028861, 2245.956508};{61718.78588, 47155.030481, 2510.375309};{62318.183323, 45119.992279, 2417.360042};{60779.986134, 47300.069312, 4074.999573}
184364ea-54b7-4c59-8efd-d3caa23f21b0;f6b244eb-2e25-42bf-9082-624a954e409d;9110*250;UPB265(265X1200);C50/60;C45/55;1;12;90;402.76;-39.97;250.04;1057.87;-39.97;739.69;400.81;265;9110;265;1879.99;4030.32;{61719.984375, 47425.058618, -480.000427}|{59839.990475, 47425.078029, -480.000427};{59159.329775, 47135.084111, 2252.51053}|{59159.299849, 43139.314111, 2252.51053};{60225.444084, 47155.071034, 2259.220147};{59808.785436, 47155.074155, 2204.367441};{60779.986134, 47300.069312, 4074.999573};{59701.018899, 45119.928284, 2190.182087}
184364ea-54b7-4c59-8efd-d3caa23f21b0;927ff559-a300-45ce-af87-4b0f42e8d9e0;9110*250;UPB265(265X1200);C50/60;C45/55;1;12;90;1206.6;-40;250.04;1200;-40.03;1200;343.79;265;9110;265;1879.99;4030.03;{61719.984375, 47425.058618, -480.000427}|{59839.990475, 47425.078029, -480.000427};{61112.067116, 47135.086133, 2470.126233}|{61112.022291, 43139.306133, 2470.14773};{61719.515904, 47155.02219, 2377.592393};{60522.142454, 47155.035195, 2298.239888};{60779.986134, 47300.069312, 4074.999573};{61120.80635, 45119.998038, 2337.927089}
d1c123ba-8a5c-4212-9930-d9edb127082a;e6054cef-f2df-4b7a-95d0-db4acb7b5f24;9060*250;3160*200;C50/60;C40/50;1;1;90;200.03;249.75;250;200;249.74;200;2840;2840;9060;3160;2028.57;4439.9;{40819.982852, 47425.274417, -480.000427}|{38791.41347, 47425.295363, -480.000427};{38827.304932, 47425.026062, 5740.000641}|{38827.28633, 42985.128296, 5740.000641};{38927.304408, 47300.157762, 5740.000641};{38927.304408, 47300.157762, 8579.999573};{39805.69687, 47300.283464, 4049.997844};{38927.29563, 45205.07676, 7320.000641}
53635bba-3ef0-4ac6-aeed-e6f87143134f;d1c123ba-8a5c-4212-9930-d9edb127082a;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;48.87;1200.02;1200;250;1200;-67.97;265;321.92;265;9060;4087.58;2028.57;{39667.237089, 43020.215126, 8114.257789}|{39667.302381, 47105.478599, 8171.178667};{40819.982852, 47425.274417, -480.000427}|{38791.41347, 47425.295363, -480.000427};{39067.302914, 47138.757364, 8039.129351};{40267.302914, 47138.738185, 8039.129351};{39667.26972, 45061.872688, 8010.191793};{39805.69687, 47300.283464, 4049.997844}
d1c123ba-8a5c-4212-9930-d9edb127082a;d37b85ab-ffdb-4fd7-821a-f53703370443;9060*250;2820*200;C50/60;C40/50;1;1;90;200.03;249.75;250;200;249.74;200;2820;2820;9060;2820;2028.57;4639.9;{40819.982852, 47425.274417, -480.000427}|{38791.41347, 47425.295363, -480.000427};{38827.304932, 47425.026062, 2900.002091}|{38827.285492, 42785.126062, 2900.002091};{38927.304408, 47300.157762, 2900.000641};{38927.304408, 47300.157762, 5720.002091};{39805.69687, 47300.283464, 4049.997844};{38927.295211, 45105.075643, 4310.001366}
7039943b-fc57-4604-be22-d33bc8b1967a;d1c123ba-8a5c-4212-9930-d9edb127082a;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;48.88;512.7;798.09;250;512.68;-67.97;265;320.81;265;9060;4007.86;2028.57;{41105.328362, 43099.824415, 8115.367205}|{41105.39238, 47105.455617, 8171.178549};{40819.982852, 47425.274417, -480.000427}|{38791.41347, 47425.295363, -480.000427};{40307.302891, 47138.743425, 8039.129315};{40819.980252, 47138.735231, 8039.129315};{40706.315345, 45101.7187, 8010.74709};{39805.69687, 47300.283464, 4049.997844}
8e87a458-78b2-4a20-901a-2a428793b1de;d1c123ba-8a5c-4212-9930-d9edb127082a;9060*250;9060*250;C50/60;C50/60;1;1;0;-20;-20;250;250;250;250;9060;9060;9060;9060;1880;2028.57;{42719.984376, 47425.254799, -480.000427}|{40839.982852, 47425.27421, -480.000427};{40819.982852, 47425.274417, -480.000427}|{38791.41347, 47425.295363, -480.000427};{40829.981406, 47300.272888, -480.003885};{40829.981406, 47300.272888, 8579.999573};{41779.982168, 47300.263079, 4049.997844};{39805.69687, 47300.283464, 4049.997844}
8e87a458-78b2-4a20-901a-2a428793b1de;cc795f4f-9513-4d53-a536-38589aabe3e6;9060*250;UPB265(265X1200);C50/60;C45/55;1;12;90;216.93;-40.01;250;1200;-40;1200;419.36;265;9060;265;1880;3995.11;{42719.984376, 47425.254799, -480.000427}|{40839.982852, 47425.27421, -480.000427};{43097.915812, 47135.134401, 138.040969}|{43097.885887, 43139.314401, 138.040969};{42653.057718, 47155.248671, -187.810742};{42618.469173, 47155.24893, 74.922264};{41779.982168, 47300.263079, 4049.997844};{43115.195126, 45137.684984, 6.674466}
8e87a458-78b2-4a20-901a-2a428793b1de;b8e357b8-3c45-4957-a7ab-c4e1791c7dfc;9060*250;UPB265(265X1200);C50/60;C45/55;1;12;90;1224.33;-40;250;1200;-40;1200;419.36;265;9060;265;1880;3995.13;{42719.984376, 47425.254799, -480.000427}|{40839.982852, 47425.27421, -480.000427};{41908.181445, 47135.133311, -18.586406}|{41908.151519, 43139.313311, -18.586406};{42520.343052, 47155.254731, -71.639222};{41330.608684, 47155.263641, -228.266596};{41779.982168, 47300.263079, 4049.997844};{41925.460759, 45137.69653, -149.952909}
7039943b-fc57-4604-be22-d33bc8b1967a;8e87a458-78b2-4a20-901a-2a428793b1de;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;48.87;265.41;798.09;250;265.41;-67.97;265;320.81;265;9060;4007.86;1880;{41105.328362, 43099.824415, 8115.367205}|{41105.39238, 47105.455617, 8171.178549};{42719.984376, 47425.254799, -480.000427}|{40839.982852, 47425.27421, -480.000427};{40839.979187, 47138.736418, 8039.129336};{41105.392914, 47138.732176, 8039.129336};{40706.315345, 45101.7187, 8010.74709};{41779.982168, 47300.263079, 4049.997844}
060d9846-4406-462e-a70f-605b2553c89d;8e87a458-78b2-4a20-901a-2a428793b1de;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;48.89;1200.02;1200;250;1200;-67.95;265;320.81;265;9060;4007.87;1880;{41705.328362, 43099.814826, 8115.367156}|{41705.39238, 47105.446029, 8171.178499};{42719.984376, 47425.254799, -480.000427}|{40839.982852, 47425.27421, -480.000427};{41105.392914, 47138.746002, 8039.129479};{42305.392914, 47138.726823, 8039.12948};{41705.360357, 45101.721187, 8010.747298};{41779.982168, 47300.263079, 4049.997844}
8e87a458-78b2-4a20-901a-2a428793b1de;9a010106-5b61-4119-9197-69f36706c759;9060*250;UPB265(265X1200);C50/60;C45/55;1;12;90;414.61;48.92;250;1200;-67.93;414.59;321.92;265;9060;265;1880;4087.58;{42719.984376, 47425.254799, -480.000427}|{40839.982852, 47425.27421, -480.000427};{42905.328361, 43099.795649, 8115.367058}|{42905.39238, 47105.426851, 8171.178401};{42305.392914, 47138.743215, 8039.129609};{42719.981777, 47138.736588, 8039.129609};{41779.982168, 47300.263079, 4049.997844};{42905.35972, 45061.877023, 8010.192309}
8445320f-3e5d-43e5-82bc-bef9965ed78a;8e87a458-78b2-4a20-901a-2a428793b1de;9060*250;9060*250;C50/60;C50/60;1;1;0;-20;-20;250;250;250;250;9060;9060;9060;9060;1880;1880;{44619.985902, 47425.235181, -480.000427}|{42739.984376, 47425.254592, -480.000427};{42719.984376, 47425.254799, -480.000427}|{40839.982852, 47425.27421, -480.000427};{42729.983086, 47300.253074, -480.000427};{42729.983086, 47300.253074, 8579.999573};{43679.983849, 47300.243265, 4049.999573};{41779.982168, 47300.263079, 4049.997844}
8445320f-3e5d-43e5-82bc-bef9965ed78a;cc795f4f-9513-4d53-a536-38589aabe3e6;9060*250;UPB265(265X1200);C50/60;C45/55;1;12;90;987.4;-40;250;1200;-40;1035.54;419.36;265;9060;265;1880;3995.11;{44619.985902, 47425.235181, -480.000427}|{42739.984376, 47425.254592, -480.000427};{43097.915812, 47135.134401, 138.040969}|{43097.885887, 43139.314401, 138.040969};{43710.077419, 47155.239114, 84.988153};{42708.779338, 47155.246613, -46.831767};{43679.983849, 47300.243265, 4049.999573};{43115.195126, 45137.684984, 6.674466}
8445320f-3e5d-43e5-82bc-bef9965ed78a;9a010106-5b61-4119-9197-69f36706c759;9060*250;UPB265(265X1200);C50/60;C45/55;1;12;90;765.41;48.91;250;1200;-67.93;765.41;321.92;265;9060;265;1880;4087.58;{44619.985902, 47425.235181, -480.000427}|{42739.984376, 47425.254592, -480.000427};{42905.328361, 43099.795649, 8115.367058}|{42905.39238, 47105.426851, 8171.178401};{42739.981022, 47138.737303, 8039.129624};{43505.392914, 47138.72507, 8039.129624};{43679.983849, 47300.243265, 4049.999573};{42905.35972, 45061.877023, 8010.192309}
79d976c8-1737-4f93-8fad-0bdd1773586c;8445320f-3e5d-43e5-82bc-bef9965ed78a;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;48.92;1114.61;1200;250;1114.59;-67.93;265;321.92;265;9060;4087.58;1880;{44105.327089, 43020.171906, 8114.257811}|{44105.39238, 47105.407674, 8171.178302};{44619.985902, 47425.235181, -480.000427}|{42739.984376, 47425.254592, -480.000427};{43505.392914, 47138.730983, 8039.129608};{44619.983303, 47138.713169, 8039.129608};{44105.35972, 45061.86547, 8010.192317};{43679.983849, 47300.243265, 4049.999573}
8445320f-3e5d-43e5-82bc-bef9965ed78a;d907251d-46ec-419d-b30a-e463d4a8638e;9060*250;9060*250;C50/60;C50/60;1;1;0;-20;-20;250;250.05;250;250;9060;9060;9060;9060;1880;1880;{44619.985902, 47425.235181, -480.000427}|{42739.984376, 47425.254592, -480.000427};{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{44629.984611, 47300.233457, -480.000427};{44629.984611, 47300.233457, 8579.999573};{43679.983849, 47300.243265, 4049.999573};{45579.985374, 47300.201225, 4049.999573}
460925ed-f6d4-46f3-84aa-d80ce63882dd;8445320f-3e5d-43e5-82bc-bef9965ed78a;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;-39.99;927.2;1200;250;1200;-39.99;265;419.36;265;9060;3995.12;1880;{44287.65018, 47135.12549, 294.668344}|{44287.620254, 43139.31549, 294.668344};{44619.985902, 47425.235181, -480.000427}|{42739.984376, 47425.254592, -480.000427};{44651.185364, 47155.234608, 208.884101};{43710.077419, 47155.241656, 84.988153};{44304.929494, 45137.682602, 163.301841};{43679.983849, 47300.243265, 4049.999573}
79d976c8-1737-4f93-8fad-0bdd1773586c;d907251d-46ec-419d-b30a-e463d4a8638e;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;48.95;65.41;1200;250.05;65.41;-67.88;265;321.92;265;9060;4087.58;1880;{44105.327089, 43020.171906, 8114.257811}|{44105.39238, 47105.407674, 8171.178302};{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{44672.68776, 47140.539085, 7906.6422};{44672.687701, 47136.84714, 8171.616481};{44105.35972, 45061.86547, 8010.192317};{45579.985374, 47300.201225, 4049.999573}
d907251d-46ec-419d-b30a-e463d4a8638e;da4b81b6-c386-4f45-a3fb-f74692581a57;9060*250;UPB265(265X1200);C50/60;C45/55;1;12;90;1200.02;48.98;250.05;1200;-67.87;1200;321.92;265;9060;265;1880;4087.59;{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{45305.327089, 43020.162728, 8114.257852}|{45305.39238, 47105.388497, 8171.178204};{44705.392914, 47138.705772, 8039.129425};{45905.392913, 47138.686593, 8039.129425};{45579.985374, 47300.201225, 4049.999573};{45305.359721, 45061.867811, 8010.192518}
d284ddb7-a3bf-448b-8b31-52306efd1c06;d907251d-46ec-419d-b30a-e463d4a8638e;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;48.99;614.62;1200;250.05;614.59;-67.86;265;321.92;265;9060;4087.58;1880;{46505.318734, 43020.148737, 8114.257826}|{46505.39238, 47105.369319, 8171.178106};{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{45905.392982, 47138.694844, 8039.129425};{46519.984959, 47138.683764, 8039.129425};{46505.355541, 45061.860897, 8010.19259};{45579.985374, 47300.201225, 4049.999573}
71560f18-666a-45f8-9b8f-0da9af88286e;d907251d-46ec-419d-b30a-e463d4a8638e;9060*250;9060*250;C50/60;C50/60;1;1;0;-20;-20;250.05;250.05;250.05;250.05;9060;9060;9060;9060;1879.99;1880;{48419.981325, 47425.195945, -480.000427}|{46539.987428, 47425.215356, -480.000427};{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{46529.986137, 47300.191277, -480.000427};{46529.986137, 47300.191277, 8579.999573};{47479.983086, 47300.182501, 4049.999573};{45579.985374, 47300.201225, 4049.999573}
6a1d0107-40de-4757-9d84-b835db76a564;d907251d-46ec-419d-b30a-e463d4a8638e;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;-39.95;447.73;1200;250.05;1200;-39.95;265;419.36;265;9060;3995.09;1880;{46667.118915, 47135.11767, 607.923094}|{46667.088989, 43139.30767, 607.923093};{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{46551.18689, 47155.189965, 459.017458};{46089.546154, 47155.193422, 398.242903};{46684.398229, 45137.66496, 476.556591};{45579.985374, 47300.201225, 4049.999573}
32807a80-19e2-4079-b62a-0202e73127c2;d907251d-46ec-419d-b30a-e463d4a8638e;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;-39.95;1224.33;1200;250.05;1200;-39.96;265;419.36;265;9060;3995.1;1880;{45477.384548, 47135.12658, 451.295719}|{45477.354622, 43139.31658, 451.295719};{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{46089.546154, 47155.194139, 398.242903};{44899.811787, 47155.203049, 241.615528};{45494.663861, 45137.671281, 319.929216};{45579.985374, 47300.201225, 4049.999573}
460925ed-f6d4-46f3-84aa-d80ce63882dd;d907251d-46ec-419d-b30a-e463d4a8638e;UPB265(265X1200);9060*250;C45/55;C50/60;12;1;90;-39.94;277.13;1200;250.05;351.79;-39.95;265;419.36;265;9060;3995.12;1880;{44287.65018, 47135.12549, 294.668344}|{44287.620254, 43139.31549, 294.668344};{46519.987428, 47425.215563, -480.000427}|{44639.985902, 47425.234974, -480.000427};{44899.811787, 47155.209885, 241.615528};{44608.780864, 47155.212064, 203.301589};{44304.929494, 45137.682602, 163.301841};{45579.985374, 47300.201225, 4049.999573}
188a5363-0c4c-4212-8445-cd48a20b40d1;3766ed58-7c3e-490b-a0fc-fdeac4e9c367;PL8*370;350*350;S355J2;C50/60;18;13;90;65;-15;8;350;8;65;-15;8.45;370;350;13042.69;8143.17;{52249.952541, 38203.560851, 7678.168283}|{38892.268696, 38204.025177, 7678.168283};{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{51934.959919, 38203.5718, 7670.668332};{51869.95736, 38203.57406, 7670.668332};{45413.614307, 38203.798489, 7863.168283};{52044.960975, 38100.048009, 3591.583381}
3766ed58-7c3e-490b-a0fc-fdeac4e9c367;8ebab8ba-7138-4560-8caa-3277191c1c0b;350*350;HK840-15-30*250-15;C50/60;S235JR;13;31;90;-126.83;350;350;250;250;250;350;-126.83;350;840;8143.17;9480.12;{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{52094.959351, 47405.162329, 8630.001251}|{52094.959351, 37925.045545, 8630.001251};{52094.959351, 38275.048009, 7726.584816};{52094.959351, 37925.048009, 7726.584816};{52044.960975, 38100.048009, 3591.583381};{52094.959351, 42665.103937, 8210.001251}
3766ed58-7c3e-490b-a0fc-fdeac4e9c367;6e2dbefe-5ba6-43c2-a9a0-fd002a043243;350*350;PL25*200;C50/60;S355J2;13;18;90;25;-45;350;25;-45;25;200.46;200;350;200;8143.17;12602.66;{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{51824.957339, 38099.560851, 2629.998283}|{39222.297461, 38100.025183, 2629.998283};{51847.459157, 38199.560022, 2617.498283};{51847.451788, 37999.560022, 2617.498283};{52044.960975, 38100.048009, 3591.583381};{45523.6274, 38099.793017, 2617.498283}
3766ed58-7c3e-490b-a0fc-fdeac4e9c367;c0c90e59-a94c-454a-8113-5daf627caf3a;350*350;2915*250;C50/60;Crane check;13;1;90;2915;-19.98;350;250.01;249.97;249.97;-19.98;2915;350;2915;8143.17;3844.98;{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{51970.004267, 42150.015627, -479.997986}|{51969.989868, 38295.027075, -479.997986};{52094.975572, 38285.04115, -479.997986};{52094.975572, 38285.04115, 2435.002014};{52044.960975, 38100.048009, 3591.583381};{52095.003604, 40217.52489, 977.502014}
3766ed58-7c3e-490b-a0fc-fdeac4e9c367;52b299f4-05cb-4632-84aa-68f05463bc73;350*350;2775*250;C50/60;Crane check;13;1;90;2775;-20;350;250;249.97;249.96;-20;2775;350;2775;8143.17;3105.02;{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{51970.005127, 37905.025604, -479.997986}|{51969.989868, 34800.025605, -479.997986};{52094.982855, 37915.048255, -479.997986};{52094.982855, 37915.048255, 2295.002014};{52044.960975, 38100.048009, 3591.583381};{52094.997498, 36352.536192, 907.502014}
3766ed58-7c3e-490b-a0fc-fdeac4e9c367;4b332c30-c62d-41d1-97b6-2fde67c7cb63;350*350;6050*250;C50/60;Crane check;13;1;90;5083.17;-20;350;250;249.96;249.96;-20;5083.17;350;6050;8143.17;2630.02;{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{51970.005127, 37905.025604, 2580.002014}|{51970.003674, 35270.025604, 2580.002014};{52094.983029, 37915.048036, 2580.002014};{52094.983029, 37915.048036, 7663.168381};{52044.960975, 38100.048009, 3591.583381};{52095.004402, 36590.037381, 5605.002014}
01e6183c-b675-4b26-9749-68c3af6963b0;3766ed58-7c3e-490b-a0fc-fdeac4e9c367;UPB380(380X1200);350*350;C45/55;C50/60;80;13;90;99.96;380;1200;350;-88.52;99.96;380;-88.52;380;350;14500;8143.17;{52120.006055, 37236.524712, 2560.000379}|{66620.006055, 37236.524712, 2560.000379};{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{52169.979934, 37880.78636, 2180.000379};{52169.979934, 37880.78636, 2560.000379};{59370.000617, 37236.524712, 2370.000379};{52044.960975, 38100.048009, 3591.583381}
3766ed58-7c3e-490b-a0fc-fdeac4e9c367;58483a47-93ea-47fe-8a7b-1d7f9d33b4fd;350*350;UPB380(380X1200);C50/60;C45/55;13;80;90;380;99.96;350;1054.02;99.96;350;350;380;350;380;8143.17;14200;{52044.960975, 38100.048009, -480.001619}|{52044.960975, 38100.048009, 7663.168381};{52239.964593, 38930.533919, 2560.000379}|{66620.004593, 38930.533919, 2560.000379};{52169.982197, 38100.048009, 2180.000379};{52169.982197, 38100.048009, 2560.000379};{52044.960975, 38100.048009, 3591.583381};{59220.001848, 38403.523985, 2370.000379}
7378d231-59f6-46d7-b914-cf1bc28d1fba;859b34cd-7aa4-4f84-ae57-677a61a1a34c;450*450;UPB380(380X1200);C45/55;C45/55;13;80;90;-15;76.73;450;1200;450;450;76.73;-15;450;380;2739.87;6953.55;{46480.060975, 38100.048009, -504.87}|{46480.060975, 38100.048009, 2235.0};{46470.008354, 37933.618978, 2629.997318}|{46470.008354, 31015.618978, 2629.997318};{46705.060975, 37913.414132, 2242.498659};{46255.060975, 37913.414132, 2242.498659};{46480.060975, 38100.048009, 865.065};{46470.008354, 34475.006369, 2439.997318}
6e2dbefe-5ba6-43c2-a9a0-fd002a043243;7378d231-59f6-46d7-b914-cf1bc28d1fba;PL15*496;450*450;S355J2;C45/55;18;13;90;450.02;0;15;450;0;450;450.02;450;496;450;12602.66;2739.87;{51824.957339, 38099.560851, 2234.998283}|{39222.297461, 38100.025183, 2234.998283};{46480.060975, 38100.048009, -504.87}|{46480.060975, 38100.048009, 2235.0};{46480.060975, 37875.048009, 2234.999142};{46480.060975, 38325.048009, 2234.999142};{45523.6274, 38099.793017, 2242.498283};{46480.060975, 38100.048009, 865.065}
4120cd4c-42ad-41a6-9054-afc14b336976;7378d231-59f6-46d7-b914-cf1bc28d1fba;UPB265(265X1200);450*450;C45/55;C45/55;12;13;90;57.31;-150;1200;450;450;450;-150;57.31;265;450;4662.39;2739.87;{46525.078339, 38267.63314, 2650.000374}|{46525.078339, 42930.205003, 2650.000374};{46480.060975, 38100.048009, -504.87}|{46480.060975, 38100.048009, 2235.0};{46705.060975, 38296.391011, 2310.000187};{46255.060975, 38296.391011, 2310.000187};{46525.078339, 40598.928425, 2517.500374};{46480.060975, 38100.048009, 865.065}
0488f356-3600-46a0-9d8d-eb4cf7dab7fd;e36097d5-3ddb-4eef-81ff-7220a828258a;400*350;3160*200;C45/55;C40/50;13;1;90;1923.17;399.99;350;200;200.21;200;399.98;1923.17;400;3160;8165.92;7650;{39002.260044, 38100.044965, -502.75}|{39002.260044, 38100.044965, 7663.17};{38827.306813, 38300.026062, 5740.002014}|{38827.272531, 30650.026062, 5740.002014};{38927.305917, 38100.033719, 5740.002014};{38927.305917, 38100.033719, 7663.17};{39002.260044, 38100.044965, 3580.21};{38927.289673, 34475.026072, 7320.002014}
0488f356-3600-46a0-9d8d-eb4cf7dab7fd;1bc2ebd3-58b8-4ff6-8c46-f396a6513dae;400*350;3470*200;C45/55;C40/50;13;1;90;3470;-20;350;200.06;200.24;200.05;-20;3470;400;3470;8165.92;6810;{39002.260044, 38100.044965, -502.75}|{39002.260044, 38100.044965, 7663.17};{38827.304932, 37880.027893, 2250.002014}|{38827.274414, 31070.027893, 2250.002014};{38927.277868, 37890.043214, 2250.002014};{38927.277868, 37890.043214, 5720.002014};{39002.260044, 38100.044965, 3580.21};{38927.260896, 34475.046083, 3985.002014}
0488f356-3600-46a0-9d8d-eb4cf7dab7fd;fb29f932-4634-49ff-ab0c-a9d789a9deba;400*350;UPB265(265X1200);C45/55;C45/55;13;12;90;265;32.06;350;1200;114.86;114.72;32.06;265;400;265;8165.92;4662.16;{39002.260044, 38100.044965, -502.75}|{39002.260044, 38100.044965, 7663.17};{40262.551394, 38267.701561, 2650.000374}|{40262.551394, 42930.311561, 2650.000374};{39119.910563, 38284.016139, 2385.000374};{39119.910563, 38284.016139, 2650.000374};{39002.260044, 38100.044965, 3580.21};{39662.551394, 40599.0644, 2517.500374}
0488f356-3600-46a0-9d8d-eb4cf7dab7fd;6b53b83b-8c4b-4ada-acd6-d91666f84c57;400*350;3335*200;C45/55;C40/50;13;1;90;3335;-19.87;350;200;200;200;-19.87;3335;400;3335;8165.92;4645.21;{39002.260044, 38100.044965, -502.75}|{39002.260044, 38100.044965, 7663.17};{38827.286246, 42965.128296, 2385.002091}|{38827.266784, 38319.918296, 2385.002091};{38927.266741, 38309.985442, 2385.002091};{38927.266741, 38309.985442, 5720.002091};{39002.260044, 38100.044965, 3580.21};{38927.276514, 40642.522877, 4052.502091}
0488f356-3600-46a0-9d8d-eb4cf7dab7fd;188a5363-0c4c-4212-8445-cd48a20b40d1;400*350;PL8*370;C45/55;S355J2;13;18;90;-15;285;350;8;284.99;8;8.03;-15;400;370;8165.92;13042.69;{39002.260044, 38100.044965, -502.75}|{39002.260044, 38100.044965, 7663.17};{52249.952541, 38203.560851, 7678.168283}|{38892.268696, 38204.025177, 7678.168283};{39177.263658, 38204.015271, 7670.669142};{38892.268696, 38204.025177, 7670.669142};{39002.260044, 38100.044965, 3580.21};{45413.614307, 38203.798489, 7863.168283}
0488f356-3600-46a0-9d8d-eb4cf7dab7fd;6e2dbefe-5ba6-43c2-a9a0-fd002a043243;400*350;PL25*200;C45/55;S355J2;13;18;90;25;-45.04;350;25;-45.04;25;200.06;200;400;200;8165.92;12602.66;{39002.260044, 38100.044965, -502.75}|{39002.260044, 38100.044965, 7663.17};{51824.957339, 38099.560851, 2629.998283}|{39222.297461, 38100.025183, 2629.998283};{39199.782892, 38200.026013, 2617.498283};{39199.775523, 38000.026013, 2617.498283};{39002.260044, 38100.044965, 3580.21};{45523.6274, 38099.793017, 2617.498283}
